company_id,month,score,score_version,c_pago,c_liquidez,c_caja,c_deuda,c_concentracion,alert,explanation,score_raw,score_no_twin,n_stress,trend_bonus,dim_pago,dim_liquidez,dim_caja,dim_deuda,dim_concentracion
COMP_0647,2025-02,42.24,v1-scorecard,16.46,2.22,12.71,11.19,5.16,1,"subió 2.4 pts: caja 77 → 64 · estrés: S1, S5",43.27,49.56,2,5.53,54.87,8.88,63.56,74.61,51.61
COMP_0706,2025-02,59.29,v1-scorecard,17.98,15.03,15.25,13.03,,0,subió 7.5 pts: deuda 54 → 78,62.52,56.24,0,1.23,53.94,54.11,68.61,78.16,
COMP_0978,2025-02,44.31,v1-scorecard,9.65,10.81,13.96,5.27,6.72,0,subió 12.6 pts: liquidez 27 → 43 · estrés: S5,49.72,48.33,1,8.31,32.16,43.25,69.78,35.14,67.18
COMP_0909,2025-02,50.64,v1-scorecard,13.23,16.95,9.83,5.12,5.43,0,bajó 0.5 pts: caja 39 → 49 · estrés: S5,50.4,52.09,1,4.84,44.12,67.82,49.13,34.14,54.27
COMP_0649,2025-02,42.33,v1-scorecard,16.4,1.39,10.51,11.72,7.35,0,subió 1.9 pts: pago 71 → 55 · estrés: S1,43.15,43.27,1,0.78,54.67,5.56,52.55,78.16,73.45
COMP_1130,2025-02,45.42,v1-scorecard,17.98,2.49,9.56,14.07,,0,subió 1.0 pts: caja 64 → 43 · estrés: S1,45.86,51.33,1,6.76,53.94,8.98,43.01,84.42,
COMP_0250,2025-02,34.66,v1-scorecard,17.98,5.14,16.59,5.9,,1,subió 1.6 pts: caja 25 → 75 · estrés: S1,35.36,38.36,1,-5.25,53.94,18.52,74.65,35.41,
COMP_0987,2025-02,39.2,v1-scorecard,14.03,10.15,12.43,3.09,6.71,1,"bajó 1.0 pts: caja 76 → 62 · estrés: S4, S5",38.78,36.84,2,2.37,46.77,40.61,62.13,20.6,67.07
COMP_0969,2025-02,23.94,v1-scorecard,17.98,3.44,9.86,3.15,,1,bajó 8.1 pts: liquidez 15 → 12 · estrés: S1,20.48,29.7,1,-8.95,53.94,12.38,44.38,18.88,
COMP_1069,2025-02,43.8,v1-scorecard,21.58,15.16,10.85,,,0,bajó 3.1 pts: pago 19 → 54,42.47,39.6,0,-5.11,53.94,45.47,40.68,,
COMP_0449,2025-02,51.55,v1-scorecard,17.98,11.59,10.72,13.03,,0,bajó 1.9 pts: caja 73 → 48,50.76,44.06,0,-2.56,53.94,41.73,48.24,78.16,
COMP_0522,2025-02,45.25,v1-scorecard,14.25,14.38,10.48,5.35,6.14,0,subió 1.0 pts: pago 34 → 48 · estrés: S5,45.69,46.48,1,0.09,47.5,57.52,52.38,35.66,61.41
COMP_0829,2025-02,45.47,v1-scorecard,9.99,10.06,11.95,7.2,7.73,0,subió 0.3 pts: caja 41 → 60,45.6,46.06,0,-1.32,33.28,40.22,59.75,47.98,77.33
COMP_0239,2025-02,60.16,v1-scorecard,20.07,17.65,5.53,11.72,3.94,0,bajó 6.4 pts: caja 82 → 28,57.4,59.16,0,-1.51,66.91,70.6,27.63,78.16,39.35
COMP_0824,2025-02,28.5,v1-scorecard,17.98,4.21,5.13,8.39,,1,bajó 7.0 pts: caja 49 → 23 · estrés: S1,25.52,34.95,1,-5.21,53.94,15.17,23.11,50.36,
COMP_1234,2025-02,31.34,v1-scorecard,10.47,13.52,8.5,4.32,7.38,1,"bajó 7.1 pts: caja 70 → 43 · estrés: S5, S8",28.31,33.67,2,-5.89,34.91,54.08,42.52,28.83,73.76
COMP_1094,2025-02,49.43,v1-scorecard,1.98,17.81,11.97,13.03,,0,bajó 6.8 pts: pago 54 → 6,46.52,45.2,0,1.74,5.95,64.13,53.85,78.16,
COMP_0428,2025-02,48.04,v1-scorecard,15.6,18.65,6.44,11.72,7.52,0,bajó 6.5 pts: caja 62 → 32 · estrés: S5,45.25,46.81,1,-9.68,51.99,74.61,32.19,78.16,75.18
COMP_0152,2025-02,34.7,v1-scorecard,17.98,4.5,10.42,7.73,,1,subió 1.4 pts: liquidez 7 → 16 · estrés: S1,35.3,39.2,1,-0.32,53.94,16.19,46.87,46.36,
COMP_1210,2025-02,31.6,v1-scorecard,9.17,20.72,11.48,0.57,,1,bajó 0.3 pts: caja 16 → 52 · estrés: S8,31.47,42.0,1,-5.48,27.52,74.61,51.68,3.42,
COMP_0198,2025-02,61.32,v1-scorecard,17.98,13.47,9.6,13.03,,0,subió 1.1 pts: caja 59 → 43,61.79,55.84,0,7.72,53.94,48.48,43.2,78.16,
COMP_0314,2025-02,65.79,v1-scorecard,8.78,20.72,17.35,13.03,,0,subió 8.8 pts: liquidez 68 → 75,69.56,64.8,0,9.68,26.34,74.61,78.09,78.16,
COMP_0818,2025-02,65.01,v1-scorecard,17.98,20.72,6.93,13.03,,0,subió 3.5 pts: caja 48 → 31,66.52,63.99,0,7.85,53.94,74.61,31.19,78.16,
COMP_0839,2025-02,45.16,v1-scorecard,12.06,17.61,6.59,11.72,3.26,0,bajó 4.9 pts: caja 91 → 33,43.08,45.65,0,-8.17,40.21,70.45,32.97,78.16,32.63
COMP_0165,2025-02,64.3,v1-scorecard,17.98,15.36,17.27,8.93,,0,subió 3.9 pts: liquidez 56 → 55,65.98,70.0,0,6.44,53.94,55.31,77.71,53.59,
COMP_0741,2025-02,67.1,v1-scorecard,17.77,16.77,15.46,11.72,6.53,0,subió 13.3 pts: pago 33 → 59 · estrés: S5,72.81,65.72,1,9.54,59.24,67.09,77.3,78.16,65.35
COMP_0670,2025-02,43.9,v1-scorecard,8.33,18.65,5.89,11.72,1.66,0,bajó 8.7 pts: pago 55 → 28,40.18,40.55,0,-6.07,27.76,74.61,29.45,78.16,16.55
COMP_0833,2025-02,58.22,v1-scorecard,17.98,13.41,9.4,13.03,,0,subió 9.2 pts: deuda 10 → 78,62.18,54.65,0,8.36,53.94,48.29,42.31,78.16,
COMP_0711,2025-02,13.11,v1-scorecard,7.4,1.91,9.2,1.96,7.53,1,"bajó 12.8 pts: caja 57 → 46 · estrés: S1, S5, S7",7.61,21.08,3,-5.39,24.66,7.64,46.02,13.08,75.25
COMP_1178,2025-02,40.85,v1-scorecard,17.98,18.51,7.74,8.13,,0,bajó 1.0 pts: liquidez 60 → 67 · estrés: S8,40.42,42.82,1,-6.94,53.94,66.64,34.85,48.78,
COMP_0610,2025-02,56.09,v1-scorecard,17.28,15.78,10.86,4.59,8.36,0,subió 3.8 pts: pago 62 → 58 · estrés: S7,57.72,61.12,1,5.84,57.61,63.14,54.28,30.61,83.57
COMP_0945,2025-02,52.78,v1-scorecard,16.18,16.41,9.93,4.26,2.84,0,subió 2.4 pts: caja 70 → 50,53.82,56.99,0,4.2,53.94,65.64,49.63,28.38,28.43
COMP_0624,2025-02,64.05,v1-scorecard,17.98,16.51,12.09,13.97,,0,subió 7.4 pts: caja 34 → 54,67.21,65.07,0,6.67,53.94,59.42,54.39,83.83,
COMP_0614,2025-02,41.27,v1-scorecard,21.92,11.04,5.75,11.72,3.91,0,bajó 2.2 pts: deuda 9 → 78 · estrés: S8,40.32,37.79,1,-9.04,73.08,44.18,28.77,78.16,39.13
COMP_0405,2025-02,42.38,v1-scorecard,15.28,10.98,10.91,3.86,5.54,0,bajó 2.1 pts: caja 64 → 55 · estrés: S5,41.47,43.77,1,-0.09,50.94,43.9,54.57,25.71,55.37
COMP_0094,2025-02,38.2,v1-scorecard,15.88,5.6,8.86,4.92,4.62,0,bajó 1.3 pts: caja 74 → 44,37.65,41.16,0,-2.24,52.94,22.39,44.32,32.83,46.19
COMP_1245,2025-02,49.94,v1-scorecard,9.38,15.17,18.25,0.65,5.34,0,subió 5.7 pts: deuda 82 → 4 · estrés: S2,52.37,58.25,1,8.58,31.28,60.67,91.23,4.31,53.4
COMP_0454,2025-02,59.34,v1-scorecard,18.12,18.65,15.46,11.72,2.52,0,subió 10.5 pts: deuda 16 → 78,63.83,60.72,0,-2.65,60.42,74.61,77.28,78.16,25.21
COMP_0816,2025-02,44.91,v1-scorecard,17.98,13.76,15.27,4.12,,0,bajó 2.1 pts: caja 49 → 69,44.01,40.8,0,-7.12,53.94,49.55,68.72,24.71,
COMP_0249,2025-02,72.41,v1-scorecard,17.98,20.72,15.66,13.03,,0,subió 9.0 pts: caja 50 → 70,76.25,72.88,0,8.86,53.94,74.61,70.49,78.16,
COMP_0383,2025-02,37.02,v1-scorecard,17.98,16.56,7.53,1.78,,0,bajó 11.7 pts: caja 68 → 34 · estrés: S8,32.0,42.87,1,-6.85,53.94,59.62,33.88,10.7,
COMP_0596,2025-02,37.47,v1-scorecard,17.98,11.04,10.74,4.74,,0,bajó 6.6 pts: caja 61 → 48,34.64,31.64,0,-9.86,53.94,39.75,48.35,28.42,
COMP_0029,2025-02,57.39,v1-scorecard,11.9,14.93,17.56,11.72,4.62,0,subió 13.9 pts: caja 24 → 88 · estrés: S5,63.36,53.51,1,7.63,39.68,59.72,87.78,78.16,46.16
COMP_0828,2025-02,48.6,v1-scorecard,15.68,12.6,12.71,11.72,4.92,0,subió 4.1 pts: liquidez 35 → 50 · estrés: S5,50.35,43.17,1,-2.28,52.27,50.4,63.57,78.16,49.17
COMP_0776,2025-02,47.62,v1-scorecard,17.98,13.5,10.85,13.03,,0,bajó 5.1 pts: caja 28 → 49,45.44,41.45,0,-9.91,53.94,48.59,48.81,78.16,
COMP_1042,2025-02,68.42,v1-scorecard,20.13,18.65,14.69,11.72,7.07,0,subió 12.7 pts: pago 46 → 67 · estrés: S5,73.84,69.58,1,6.58,67.1,74.61,73.43,78.16,70.73
COMP_0694,2025-02,54.09,v1-scorecard,17.98,17.04,10.95,13.03,,0,subió 1.7 pts: liquidez 40 → 61,54.83,49.89,0,-4.16,53.94,61.33,49.27,78.16,
COMP_0258,2025-02,30.36,v1-scorecard,17.98,14.94,3.22,2.94,,1,bajó 14.1 pts: deuda 43 → 18 · estrés: S2,24.3,33.12,1,-9.77,53.94,53.77,14.49,17.62,
COMP_0085,2025-02,38.2,v1-scorecard,9.7,7.88,8.02,11.72,2.11,0,subió 0.5 pts: concentracion 30 → 21 · estrés: S1,38.41,39.21,1,3.97,32.34,31.5,40.12,78.16,21.1
COMP_0838,2025-02,48.64,v1-scorecard,12.3,17.62,6.55,11.72,3.26,0,bajó 12.7 pts: caja 92 → 33,43.2,45.81,0,-8.26,40.99,70.5,32.75,78.16,32.63
COMP_0641,2025-02,51.73,v1-scorecard,6.15,15.87,9.76,11.72,2.69,0,bajó 3.6 pts: caja 97 → 49 · estrés: S5,50.19,47.78,1,9.0,20.48,63.48,48.8,78.16,26.91
COMP_0889,2025-02,61.17,v1-scorecard,24.9,,17.11,18.04,,0,bajó 1.3 pts: caja 63 → 56,60.63,55.88,0,0.59,53.94,,55.6,78.16,
COMP_0875,2025-02,37.01,v1-scorecard,9.45,14.39,11.19,3.31,7.56,1,"subió 7.8 pts: liquidez 47 → 58 · estrés: S4, S5",40.34,36.77,2,4.43,31.52,57.54,55.94,22.1,75.63
COMP_0985,2025-02,47.06,v1-scorecard,12.86,16.15,7.9,1.32,6.14,0,bajó 0.2 pts: deuda 17 → 9,46.97,54.24,0,2.6,42.88,64.58,39.51,8.77,61.43
COMP_0246,2025-02,52.6,v1-scorecard,20.12,14.44,6.98,7.23,7.65,0,bajó 1.8 pts: caja 74 → 35 · estrés: S4,51.82,51.01,1,0.41,67.06,57.77,34.88,48.18,76.46
COMP_1123,2025-02,20.56,v1-scorecard,18.9,1.03,2.19,3.34,8.09,1,"bajó 15.5 pts: caja 25 → 11 · estrés: S1, S5",13.91,27.8,2,-9.63,62.99,4.1,10.97,22.29,80.88
COMP_0549,2025-02,47.65,v1-scorecard,17.98,8.54,11.35,13.03,,0,bajó 2.0 pts: deuda 37 → 78,46.79,39.82,0,-4.11,53.94,30.76,51.07,78.16,
COMP_0234,2025-02,41.38,v1-scorecard,8.73,14.69,10.86,2.59,3.75,0,subió 2.9 pts: liquidez 31 → 59 · estrés: S5,42.64,47.47,1,7.03,29.09,58.77,54.29,17.24,37.46
COMP_0442,2025-02,37.04,v1-scorecard,17.98,8.34,2.9,9.29,,0,bajó 10.8 pts: caja 47 → 13,32.39,29.67,0,-6.12,53.94,30.04,13.03,55.72,
COMP_0117,2025-02,39.34,v1-scorecard,7.49,16.56,8.79,2.88,2.38,0,bajó 10.5 pts: pago 63 → 25,34.85,44.93,0,-3.24,24.96,66.24,43.95,19.17,23.84
COMP_0167,2025-02,51.22,v1-scorecard,16.81,13.35,9.72,11.72,2.44,0,bajó 2.1 pts: deuda 39 → 78 · estrés: S5,50.33,48.17,1,1.28,56.04,53.41,48.61,78.16,24.42
COMP_0418,2025-02,72.38,v1-scorecard,17.98,20.72,16.61,13.03,,0,subió 10.3 pts: caja 38 → 75,76.79,72.71,0,8.45,53.94,74.61,74.73,78.16,
COMP_0289,2025-02,58.87,v1-scorecard,12.54,17.24,15.72,6.93,6.32,0,subió 7.1 pts: pago 38 → 42 · estrés: S5,61.92,60.81,1,8.17,41.79,68.95,78.58,46.23,63.21
COMP_0531,2025-02,45.39,v1-scorecard,15.07,14.28,8.78,8.22,7.46,0,subió 0.3 pts: caja 18 → 44 · estrés: S5,45.52,47.66,1,-3.29,50.24,57.11,43.89,54.82,74.56
COMP_0707,2025-02,53.95,v1-scorecard,20.2,8.4,12.64,3.5,5.38,0,bajó 0.8 pts: liquidez 53 → 34,53.59,56.29,0,3.47,67.32,33.61,63.2,23.33,53.79
